ReferenceNumber,WatchName,Gender,Location,Price,Currency,BrandName,Condition,ScopeOfDelivery,WatchLink,WatchImage,WebsiteName,WatchModel,Year,Movement,PowerReserve,NumberOfJewels,CaseDiameter,CaseMaterial,WaterResistanceAtm,BezelMaterial,Glass,DialColor,BraceletMaterial,BraceletColor,Buckle,BuckleMaterial,Functions,Description,Other
16013,Rolex Datejust 16013,U,United States of America,4.25,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/rolex-mens-datejust-16013-ssyellow-gold-blue-diamond-dial--id8472755.htm,https://cdn2.chrono24.com/images/uhren/images_55/s7/8472755_xxl.jpg?v=1528509298209,Chrono24,datejust,"
",Automatic,,27,36,Gold/Steel,,Yellow gold,Plastic,Silver,Gold/Steel,Gold/Steel,,,,"Rolex men's stainless steel and Yellow gold Datejust with Silver dial set with 10 round diamond hour markers. Rolex Yellow gold fluted. Rolex automatic winding caliber 3035 with scratch resistant sapphire crystal. Rolex stainless steel and Yellow gold jubilee bracelet with a genuine folding stainless steel claps with engraved Rolex crown.



WATCH DESCRIPTION



BRAND : Rolex

MODEL : Datejust

MODEL NUMBER : 16013

CASE SIZE : 36mm

GENDER : Men's



WATCH FEATURES



DIAL : Rolex Professionally Refinished Silver Dial set with aftermarket Genuine (VVS H Color) Diamond Hour Markers

BEZEL : Rolex Yellow Gold Fluted Bezel

CRYSTAL: Acrylic Plastic Crystal

MOVEMENT : Rolex Certified Chronometer Self-Winding Automatic Quick-Set Movement 3035

BRACELET : Genuine Rolex Stainless Steel and Yellow Gold Jubilee Bracelet With a Genuine Folding Stainless Steel Claps with Engraved Rolex Crown

BRACELET LENGTH : Will fit Wrist up to 7 Inches - Extra Links Can be Added Upon Request



This mint condition genuine Rolex watch has been fully polished and overhauled. It has been time tested to insure accurate time keeping.

All pre-owned watches sold by SGA Watches & Jewelry are refurbished to look like new.

All of our watches come with SGA Watches 2 Years Warranty, Polishing Cloth and Wooden Watch Box.



SGA Watches offers 14 Days return policy on all watches sold.",
16013,Rolex Datejust 16013,U,United States of America,4.35,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/rolex-mens-datejust-16013-ssyellow-gold-blue-diamond-dial--id8405304.htm,https://cdn2.chrono24.com/images/uhren/images_04/s3/8405304_xxl.jpg?v=1527734967259,Chrono24,datejust,"
",Automatic,,27,36,Gold/Steel,,Yellow gold,Plastic,Blue,Gold/Steel,Gold/Steel,,,,"Rolex men's stainless steel and Yellow gold Datejust with Blue dial set with 10 round diamond hour markers. Rolex Yellow gold fluted. Rolex automatic winding caliber 3035 with scratch resistant sapphire crystal. Rolex stainless steel and Yellow gold jubilee bracelet with a genuine folding stainless steel claps with engraved Rolex crown.



Bracelet Length 7 Inches. Additional links can be added upon request complimentary.



This mint condition genuine Rolex watch has been fully polished and overhauled. It has been time tested to insure accurate time keeping.

All pre-owned watches sold by SGA Watches & Jewelry are refurbished to look like new.

All of our watches come with SGA Watches 2 Years Warranty, Polishing Cloth and Wooden Watch Box.



SGA Watches offers 14 Days return policy on all watches sold.",
116509,Rolex Daytona 116509,U,United States of America,35.8,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/daytona-40mm-white-gold-blue-dial--id11794185.htm,https://cdn2.chrono24.com/images/uhren/images_85/s1/11794185gross_v1564350977794.jpg,Chrono24,daytona,"
",Automatic,72,44,40,White gold,10,White gold,Sapphire Glass,Blue,White gold,Gold,,,,,
126300-0003,Rolex Datejust 126300-0003,U,United States of America,7.525,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/126300-datejust-41-oyster-silver-stick-stainless-unworn--id12583435.htm,https://cdn2.chrono24.com/images/uhren/images_35/s4/12583435_v1570323772881.jpg,Chrono24,datejust,"
",Automatic,,,41,Steel,10,,Sapphire Glass,Silver,Steel,Steel,,,,,
18238,Rolex Day-Date 36 18238,U,United States of America,10.993,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/1988-rolex-day-date-president-18238-36mm-double-quickset-18k-yellow-gold-watch--id12641747.htm,https://cdn2.chrono24.com/images/uhren/images_47/s7/12641747_xxl_v1570916890600.jpg,Chrono24,day.date 36,"
",Automatic,,,36,Yellow gold,,Yellow gold,Sapphire Glass,Silver,Yellow gold,Gold,,,,,
126710BLNR,Rolex GMT-Master II 126710BLNR,U,United States of America,17.9,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/gmt-master-ii-batman-new-2019-jubilee-bracelet--id11463541.htm,https://cdn2.chrono24.com/images/uhren/images_41/s5/11463541_xxl_v1560538707433.jpg,Chrono24,gmt.master ii,"
",Automatic,70,,40,Steel,10,Ceramic,Sapphire Glass,Black,Steel,Steel,,,,"GMT-Master II Batman NEW 2019 Jubilee Bracelet



Warranty Card from USA ROLEX Authorized Dealer Dated June 2019

Unsized and Unworn Watch



The picture used for this listing is a stock picture provided by the manufacturer. 

Contact us if you require actual photos of this model. 



All watches are in stock and available to ship immediately.

Watch includes the original manufacturer box, serial card, and guarantee manual.

There is no sales tax involved, unless shipping to NJ. 

We offer overnight shipping and insurance for all orders shipping within the Continental US. 



Haniken Jewelers is not an authorized dealer. We do not claim any rights to the patents, copyrights, which belong solely to their developers or assignees and licensees. We obtain our Products from authorized dealers and distributors.",
116508,Rolex Daytona 116508,U,United States of America,32.998,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/daytona-116508-new-2019--id10694935.htm,https://cdn2.chrono24.com/images/uhren/images_35/s9/10694935_xxl_v1552514762894.jpg,Chrono24,daytona,"
",Automatic,72,44,40,Yellow gold,10,Yellow gold,Sapphire Glass,Champagne,Yellow gold,Gold,,,,,
1601,Rolex Datejust 1601,U,United States of America,3.499,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/mens-rolex-datejust-blue-vignette-diamond-18k-white-gold--stainless-steel-watch--id12896783.htm,https://cdn2.chrono24.com/images/uhren/images_83/s7/12896783_xxl_v1573353471284.jpg,Chrono24,datejust,"
",Automatic,,26,36,Steel,,White gold,Plexiglass,Blue,Steel,Steel,,,,,
118235,Rolex Day-Date 36 118235,,United States of America,20.5,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/day-date-36mm--id11828710.htm,https://cdn2.chrono24.com/images/uhren/images_10/s7/11828710gross_v1564698774826.jpg,Chrono24,day.date 36,"
",,48,,36,Rose gold,,,Sapphire Glass,Pink,,Gold,,,,"Rolex 36mm Everose Gold Day-Date 
  
Originally introduced in 1956, the Day-Date has become an enduring Rolex icon. The design characteristic of the President bracelet along with the pink dial gives this stunning timepiece unmistakable presence on the wrist. The Cal. 3155 (which is entirely designed and manufactured by Rolex) boasts a 48 hour power reserve. This particular example is in mint like-new condition. This timepiece comes complete with boxes, and a one year Material Good warranty.",
16808,Rolex Submariner Date 16808,U,United States of America,16.744,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/vintage-1987-rolex-submariner-date-slate-gray-serti-16808-18k-yellow-gold-16618vintage-1987-rolex-submariner-date-18k-yellow-gold-watch--id12631625.htm,https://cdn2.chrono24.com/images/uhren/images_25/s6/12631625_xxl_v1570807651528.jpg,Chrono24,submariner date,"
",Automatic,,,40,Yellow gold,,Yellow gold,Sapphire Glass,Grey,Yellow gold,Gold,,,,,
116500LN,Rolex Daytona 116500LN,U,United States of America,23,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/new-daytona-ceramic-bezel-black-dial-116500ln--id11951441.htm,https://cdn2.chrono24.com/images/uhren/images_41/s4/11951441_xxl_v1565280006868.jpg,Chrono24,daytona,"
",Automatic,72,44,40,Steel,10,Ceramic,Sapphire Glass,Black,Steel,Steel,,,,,
126600,Rolex Sea-Dweller 126600,U,United States of America,16,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/red-sea-dweller-50th-anniversary-stainless-steel-43mm--id12743695.htm,https://cdn2.chrono24.com/images/uhren/images_95/s6/12743695_xxl_v1572011838866.jpg,Chrono24,sea.dweller,"
",Automatic,70,31,43,Steel,120,Ceramic,Sapphire Glass,Black,Steel,Steel,,,,"Rolex ""RED"" Sea-Dweller 50th Anniversary Stainless Steel 43mm (126600)

Box: Yes

Papers: Yes

Year: Originally sold March 2019

Condition Report: Like-New Mint condition, all original comes original full kit Rolex box, papers, bezel protector, etc...

Case Size: 43mm

Case Metal: Stainless Steel 

Movement: Automatic

Power Reserve: 70 hours

Dial Color: Black Dial 

Strap/Bracelet: Stainless Steel

Buckle: Stainless Steel Folding Clasp

Exhibition Caseback: No 

Complications: Date",
16750,Rolex GMT-Master 16750,U,United States of America,13.89,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/gmt-master-16750-1981-rolex-matte-dial-pepsi-gmt--id12903733.htm,https://cdn2.chrono24.com/images/uhren/images_33/s7/12903733_xxl_v1573438973967.jpg,Chrono24,gmt.master,"
",Automatic,48,27,40,Steel,10,Steel,Plexiglass,Black,Steel,Steel,,,,,
116506,Rolex Daytona 116506,U,United States of America,75.5,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/daytona--id11795915.htm,https://cdn2.chrono24.com/images/uhren/images_15/s9/11795915gross_v1564393318268.jpg,Chrono24,daytona,"
",Automatic,72,44,40,Platinum,10,Ceramic,Sapphire Glass,Blue,Platinum,Silver,,,,,
6694,Rolex Oyster Precision 6694,U,United States of America,2.987,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/oyster-precision-6694-34mm--id12469265.htm,https://cdn2.chrono24.com/images/uhren/images_65/s2/12469265_xxl_v1569345791902.jpg,Chrono24,oyster precision,"
",Manual winding,40,17,34,Steel,10,Steel,Plexiglass,Silver,,Steel,,,,"ABOUT THIS WATCH

A fantastic entry level Rolex for the vintage lover. The Oysterdate first appeared in the Rolex lineup in 1960s and was finally discontinued in the late 80s. The Oysterdate is quite the oddity, as it's a manual wind watch. It was never fitted with an automatic, even towards the end of it's run in the 1980's. Powered by the Cal. 1225 inside, a 17-jewel mechanism with a 21,600bph frequency.



THE LITTLE DETAILS

Watch is in overall excellent condition with moderate wear and patina throughout. Dial is in excellent condition, with some light spotting from age (see pics). Case has some moderate wear consistent with watch this age. Movement running strong with no issues. Bracelet will fit 7 inch wrist. No Box or Papers. Watch is Serial Number 272xxxx (1971).",
126300,Rolex Datejust 126300,U,United States of America,8.1,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/datejust-41-smooth-bezel-rhodium-stick-dial-126300-stickers--id12800676.htm,https://cdn2.chrono24.com/images/uhren/images_76/s6/12800676_xxl_v1572548202897.jpg,Chrono24,datejust,"
",Automatic,70,31,41,Steel,10,Steel,Sapphire Glass,Grey,Steel,Steel,,,,,
1680,Rolex Submariner Date 1680,U,United States of America,19.75,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/submariner-red-sub-1680-submariner-date-1971--id12903742.htm,https://cdn2.chrono24.com/images/uhren/images_42/s7/12903742_v1573439318179.jpg,Chrono24,submariner date,"
",Automatic,48,26,40,Steel,20,Steel,Plexiglass,Black,Steel,Steel,,,,,
326935,Rolex Sky-Dweller 326935,U,United States of America,44.5,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/sky-dweller-42mm-18kt-rose-gold-black-dial--id8919967.htm,https://cdn2.chrono24.com/images/uhren/images_67/s9/8919967_xxl.jpg?v=1533917775384,Chrono24,sky.dweller,"
",Automatic,72,40,42,Rose gold,10,Rose gold,Sapphire Glass,Black,Rose gold,Gold,,,,"Included With This Purchase: 



- Original Box 

- Original Warranty 

- FedEx Overnight domestic shipping (once payment is verified with Chrono) 

- International Shipping 2-4 days 



*Please note that all International buyers are responsible for custom taxes and/or duties of the receiving country. 

*NY State Residents will be charged NYS Sales Tax. 





Luxury Time NYC INC. is neither affiliated with nor an authorized dealer for the above mentioned brand, watch maker or any other watch brand. We obtain our watches from reputable sources dealing directly with authorized dealers and distributors. The manufacturer's warranty is no longer valid and Luxury Time NYC is the sole warrantor of the watches sold unless purchased unworn. Luxury Time NYC warranties all items sold for two years from the date of the original sale. Warranty only covers manufacturer’s parts which existed in the movement at the time of the sale and shall be void if altered subsequent to the sale. All watches and watch items sold are previously purchased, pre-owned and/or used even if they appear unpolished or new.",
126331,Rolex Datejust II 126331,U,United States of America,11.5,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/datejust-ii-126331--id12185971.htm,https://cdn2.chrono24.com/images/uhren/images_71/s9/12185971_xxl_v1566403601994.jpg,Chrono24,datejust ii,"
",Automatic,70,31,41,Gold/Steel,10,Rose gold,Sapphire Glass,Grey,Gold/Steel,Gold/Steel,,,,,
326138,Rolex Sky-Dweller 326138,U,United States of America,29,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/sky-dweller-18k-yellow-gold-new--id7415985.htm,https://cdn2.chrono24.com/images/uhren/images_85/s9/7415985_xxl.jpg?v=1,Chrono24,sky.dweller,"
",Automatic,72,40,42,Yellow gold,10,Yellow gold,Sapphire Glass,Silver,Crocodile skin,Brown,,,,"THE WATCH IS BRAND NEW. COMES WITH BOX AND PAPERS.



All THE WATCHES ARE LISTED WE OWN AND PHYSICALLY HAVE IN STOCK 



All ITEMS ARE INSPECTED BY OUR WATCHMAKERS AND ARE GUARANTEED 100% FULLY FUNCTIONAL AND AUTHENTIC!



                                                                                             AZAD NYC POLISH & REPAIR CENTER

                                                                                         

We offer repair services for all luxury watch brands as well as vintage timepieces and pocket watches.

We have the latest equipment to provide post warranty service.

   PRICES START AT:

- Battery Replacement $5                                                      

- Crystal Replacement $40

- Straps & Bracelets $20                                                        

- Dial Refinishing

- Watch Refinishing $50                                                                           

- Pin / Screw Replacement $5

- Plating ( Rhodium / 14k / 18k )                                           

- Complete Maintenance $75

- Movement Replacement $40                                             

- Sizing & Other Adjustments $5

- Water Resistance $30                                                           

- Jewelry Repair / Polish / Plating

        FREE ESTIMATE!     

        1 YEAR SERVICE GUARANTEE!

        For  Information:  +1 (917) 386-3555



DEAR BUYERS!



Sales tax will be charged to New York State residents. All other tax and/or duty liabilities are the sole responsibility of the buyer. 

For international shipments we must declare the value you paid and include an invoice.  Sorry, we cannot declare items at a lower value or as a gift. 

AZAD NYC provides THE NEXT day shipping to all 50 states.

International shipping is available depending on insurance. Please contact us to confirm. 



RETURNES



Returns are accepted within 7 days of receipt provided the item is returned in original condition with all accompanying articles (box, papers, certificates etc). New items must not have been worn. Sealed items must not have been opened. The refund will be given by the same method payment was received upon receipt of the item. Buyer pays the cost of return shipment. 



WARRANTY 



We stand by all of our products with a full one-year limited warranty. If an item we sell you should fail as a result of a manufacturer's defect at any time during the first year, we will repair or replace the item at absolutely no cost to you. 

- Our warranty covers everything except a) regular wear-and-tear from normal use, b) abuse of the timepiece, and c) accidental water intrusion caused by the end user (not due to a manufacturer defect). 

- External damage to the product not covered under warranty: any damage resulting from wear to the watch case, crystal/glass, watch bracelet, watch bezel, straps, screws, crown/stem, finishes, clasps/buckles, or any other physical damage to the watch. 

- Also not covered: a) defects caused by outside force or improper use, b) consequential and incidental damages, and c) the loss of precious and/or semi-precious stones from settings. 

- Outside modifications and third-party repair attempts of any kind will void the warranty. 

- Any damage if used under conditions which exceed the watch manufacturer’s water resistance guidelines, and/or as indicated above regarding accidental water intrusion caused by the end user, will also not be covered. 

- Watches that are labeled as water resistant feature a screw down crown. The crown must be screwed down properly at all times to keep the watch casing watertight. Water damage is not covered under the warranty unless it is proven defective by the AZAD Watch NYC Repair and Service Center. 

- Shipping cost to AZAD Watch NYC for potential warranty repairs is not covered. 





DIRECT PHONE 



917-386-3555



STORE



45W 47th ST

New York, New York 10036

USA",
116520,Rolex Daytona 116520,U,United States of America,NaN,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/cosmograph-daytona-black-dial-stainless-steel-ref-116520--id11891113.htm,https://cdn2.chrono24.com/images/uhren/images_13/s1/11891113_xxl_v1564981202182.jpg,Chrono24,daytona,"
",Automatic,72,44,40,Steel,10,Steel,Sapphire Glass,Black,Steel,Steel,,,,,
116710BLNR,Rolex GMT-Master II 116710BLNR,U,United States of America,14.299,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/gmt-master-ii-batman-stainless-steel-116710blnr-box-papers--id12356813.htm,https://cdn2.chrono24.com/images/uhren/images_13/s8/12356813_xxl_v1568142918650.jpg,Chrono24,gmt.master ii,"
",Automatic,,31,40,Steel,10,Ceramic,Sapphire Glass,Black,Steel,Steel,,,,,
126333,Rolex Datejust 126333,U,United States of America,13.8,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/datejust-41mm-steel-and-18kt-yellow-gold-black-diamond-dial--id8753634.htm,https://cdn2.chrono24.com/images/uhren/images_34/s6/8753634_xxl.jpg?v=1531935757788,Chrono24,datejust,"
",Automatic,70,31,41,Gold/Steel,10,Yellow gold,Sapphire Glass,Black,Gold/Steel,Gold/Steel,,,,"Included With This Purchase: 



- Original Box 

- Original Warranty Card 

- FedEx Overnight domestic shipping (once payment is verified with Chrono) 

- International Shipping 2-4 days 



*Please note that all International buyers are responsible for custom taxes and/or duties of the receiving country. 

*NY State Residents will be charged NYS Sales Tax. 





Luxury Time NYC INC. is neither affiliated with nor an authorized dealer for the above mentioned brand, watch maker or any other watch brand. We obtain our watches from reputable sources dealing directly with authorized dealers and distributors. The manufacturer's warranty is no longer valid and Luxury Time NYC is the sole warrantor of the watches sold unless purchased unworn. Luxury Time NYC warranties all items sold for two years from the date of the original sale. Warranty only covers manufacturer’s parts which existed in the movement at the time of the sale and shall be void if altered subsequent to the sale. All watches and watch items sold are previously purchased, pre-owned and/or used even if they appear unpolished or new.",
126334,Rolex Datejust 126334,U,United States of America,9.725,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/126334-datejust-41-blue-roman-oyster-stainless-steel--id12589549.htm,https://cdn2.chrono24.com/images/uhren/images_49/s5/12589549_xxl_v1572452043306.jpg,Chrono24,datejust,"
",Automatic,70,31,41,Gold/Steel,10,White gold,Sapphire Glass,Blue,Steel,Steel,,,,,
116515,Rolex Daytona 116515,U,United States of America,26.5,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/daytona-rose-gold-40mm-chocolate-dial-116515--id12725540.htm,https://cdn2.chrono24.com/images/uhren/images_40/s5/12725540_xxl_v1574111316519.jpg,Chrono24,daytona,"
",Automatic,72,44,40,Rose gold,10,Ceramic,Sapphire Glass,Brown,Leather,Black,,,,"Visit us on our IG account WRISTAFICIONADO 

Contact : 1 917 577 1628

Wrist Aficionado is a re-seller of luxury watches and not an authorised dealer of the related brand.



Looking for a perfect timepiece? Look no further.  Wrist Aficionado is a lifestyle brand that can bring unique and limited-edition time piece into the hands of people all over the world.



With the right watch, you can emanate taste, sophistication, and style. You can carry a piece of true elegance everywhere you go; from a sporty Richard Mille to sophisticated and elegant Patek Philippe. 

Our clients come to us for an extension of their luxury lifestyle, and we’re eager to provide it.



We whole heartedly believe that every first-time buyer will be a client for life.





•	Please contact us beforehand if you wish to use other payment methods.

•	Modern trades are welcome, please call, text, or email with questions or concerns! 

•	We also buy and trade watches. Contact us for more information on our IG account WRISTAFICIONADO

•	Free Domestic Shipping via Insured FedEx Overnight 

•	Please note that all International buyers are responsible for custom taxes/duties of the receiving country. We do not defraud Customs.",
116610LV,Rolex Submariner Date 116610LV,U,United States of America,15.75,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/new-2019-edition-submariner-date-hulk-116610lv--id11376063.htm,https://cdn2.chrono24.com/images/uhren/images_63/s0/11376063_xxl_v1559519862199.jpg,Chrono24,submariner date,"
",Automatic,48,31,40,Steel,30,Ceramic,Sapphire Glass,Green,Steel,Steel,,,,,
116508,Rolex Daytona 116508,U,United States of America,41,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/daytona-mother-of-pearl-diamond-dial-dark-116508-unworn-2019--id12342692.htm,https://cdn2.chrono24.com/images/uhren/images_92/s6/12342692_xxl_v1567969297932.jpg,Chrono24,daytona,"
",Automatic,72,44,40,Yellow gold,10,Yellow gold,Sapphire Glass,Mother of pearl,Yellow gold,Gold,,,,"Brand New Rolex Daytona Mother Of Pearl Diamond Dial Dark 116508 UNWORN 



Warranty Card Dated 2019

Unsized and Unworn Watch



The picture used for this listing is a stock picture provided by the manufacturer. 

Contact us if you require actual photos of this model. 



All watches are in stock and available to ship immediately.

Watch includes the original manufacturer box, serial card, and guarantee manual.

There is no sales tax involved, unless shipping to NJ. 

We offer overnight shipping and insurance for all orders shipping within the Continental US. 



Haniken Jewelers is not an authorized dealer. We do not claim any rights to the patents, copyrights, which belong solely to their developers or assignees and licensees. We obtain our Products directly with authorized dealers and distributors.",
79160,Rolex Oyster Perpetual Lady Date 79160,W,United States of America,4.5,USD,Rolex,Preowned,Box included and papers not included,https://www.chrono24.com/rolex//rolex/rolex-ladies-datejust-ss--18k-white-gold-pink-diamond-watch--id9032819.htm,https://cdn2.chrono24.com/images/uhren/images_19/s8/9032819_xxl.jpg?v=1535592783172,Chrono24,oyster perpetual lady date,"
",Automatic,,31,26,Steel,,White gold,Sapphire Glass,Black,Steel,Silver,,,,"Rolex ladies stainless steel with Pink dial set with string diamonds and 10 round (VVS H Color) diamond hour markers. Rolex stainless steel case set with aftermarket round diamonds. Custom 18K White gold bead-set bezel set with round diamonds. Rolex automatic winding caliber 2235 with scratch resistant sapphire crystal. Rolex stainless steel oyster bracelet with a genuine folding stainless steel claps with engraved Rolex crown.



WATCH DESCRIPTION



BRAND : Rolex

MODEL : Datejust

CASE SIZE : 26mm

GENDER : Women's



WATCH FEATURES



DIAL : Rolex Professionally Refinished Pink Dial set with String Diamonds and 10 Round (VVS H Color) Diamond Hour Markers

BEZEL : Custom 18K White Gold Bead-set Bezel set with (SI-VS G-H) Genuine Round Diamonds

CRYSTAL : Scratch Resistant Sapphire Crystal

MOVEMENT : Rolex Certified Chronometer Self-Winding Automatic Quick-Set Movement 2235

BRACELET : Genuine Rolex Stainless Steel Oyster Bracelet With a Genuine Folding Stainless Steel Claps with Engraved Rolex Crown

BRACELET LENGTH : Will fit Wrist up to 6 Inches - Extra Links Can be Purchased



This mint condition genuine Rolex watch has been fully polished and overhauled. It has been time tested to insure accurate time keeping.

All pre-owned watches sold by SGA Watches & Jewelry are refurbished to look like new.

All of our watches come with SGA Watches 2 Years Warranty, Polishing Cloth and Rolex Watch Box.



SGA Watches offers 14 Days return policy on all watches sold.



Please note that all diamonds are aftermarket and have been custom added to the watch unless otherwise noted.",
116610,Rolex Submariner Date 116610,U,United States of America,8.95,USD,Rolex,Preowned,Box included and papers not included,https://www.chrono24.com/rolex//rolex/submariner-date--id12901972.htm,https://cdn2.chrono24.com/images/uhren/images_72/s9/12901972_xxl_v1573412991821.jpg,Chrono24,submariner date,"
",Automatic,48,31,40,Steel,30,Ceramic,Sapphire Glass,Black,Steel,Steel,,,,,
116660,Rolex Sea-Dweller Deepsea 116660,U,United States of America,10.295,USD,Rolex,Preowned,Box included and papers not included,https://www.chrono24.com/rolex//rolex/sea-dweller-deepsea-ref-116660-black-dial-ceramic-bezel--id12335983.htm,https://cdn2.chrono24.com/images/uhren/images_83/s9/12335983_xxl_v1567881305209.jpg,Chrono24,sea.dweller deepsea,"
",Automatic,48,31,44,Steel,120,Ceramic,Sapphire Glass,Black,Steel,Steel,,,,"Rolex Sea-Dweller Deepsea, Ref No 116660, Stainless Steel, Men’s, Black Dial, Year 2014

 



Brand	Rolex

Model/Series	Sea-Dweller Deepsea

Ref No 116660

Year	2014

List Price	$ 12,150

Gender	Men’s

Case Material	Stainless Steel

Case size	44 mm Diameter

17.6 mm Thickness

Case #	Y63W4341

Case Back	Stainless Steel

Weight	212.3 Grams

Crown	Oyster Screwdown Steel

Dial	Black Dial, Date

Crystal	Sapphire Crystal Scratch Resistant

Bezel	Unidirectional Rotating Black Ceramic Bezel

Movement Type	Automatic Mechanical Movement

Calibre #	3135

Jewels	31 Jewels

Water Resistant	12800 Ft, 3900 Meters

Bracelet/

Band	Oyster Stainless Steel Bracelet

Fits a 7.75 inches Wrist Adjustable

Bracelet 98210

Clasp	Stainless Steel Glidelock and Fliplock Clasp

with extension link

Store Inventory #	#CO-SNNN CASE-196

Condition	Like New, Rarely Worn, Serviced in August 2019

Warranty



Comes with 2 (Two)-years Estates Consignment Warranty

 



Comes with Rolex Original Inner and Outer Box, Manual,

Certificate of Authenticity and 2 (two) years

Estates Consignments Warranty.",
16014,Rolex Datejust 16014,U,United States of America,3.5,USD,Rolex,Preowned,Box not included and papers not included,https://www.chrono24.com/rolex//rolex/mens-datejust-18k-white-gold--stainless-steel-silver-dial-watch--id12851394.htm,https://cdn2.chrono24.com/images/uhren/images_94/s3/12851394_xxl_v1572958644384.jpg,Chrono24,datejust,"
",Automatic,,27,36,Steel,,White gold,Plexiglass,Silver,Steel,Steel,,,,,
Rolex 18238 - S Series,Rolex Day-Date 36 Rolex 18238 - S Series,,United States of America,12.85,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/18238--id12572392.htm,https://cdn2.chrono24.com/images/uhren/images_92/s3/12572392_xxl_v1570214687626.jpg,Chrono24,day.date 36,"
",,,,,Yellow gold,,,,,Yellow gold,,,,,,
116400V,Rolex Milgauss 116400V,U,United States of America,6.893,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/2012-mint-rolex-milgauss-green-black-orange-116400-gv-v-40mm-stainless-watch--id12812799.htm,https://cdn2.chrono24.com/images/uhren/images_99/s7/12812799_xxl_v1572654883062.jpg,Chrono24,milgauss,"
",Automatic,,,40,Steel,,Steel,Sapphire Glass,Green,Steel,Silver,,,,,
116300,Rolex Datejust II 116300,U,United States of America,7.3,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/datejust-ii--id12897662.htm,https://cdn2.chrono24.com/images/uhren/images_62/s6/12897662_xxl_v1573375163726.jpg,Chrono24,datejust ii,"
",Automatic,48,31,41,Steel,10,Steel,Sapphire Glass,Silver,Steel,Steel,,,,,
116610LV,Rolex Submariner Date 116610LV,U,United States of America,15.425,USD,Rolex,Preowned,Box included and papers included,https://www.chrono24.com/rolex//rolex/116610lv-green-submariner-date-stainless-steel-ceramic-hulk--id12699304.htm,https://cdn2.chrono24.com/images/uhren/images_04/s3/12699304_xxl_v1573091632025.jpg,Chrono24,submariner date,"
",Automatic,48,31,40,Steel,30,Ceramic,Sapphire Glass,Green,Steel,Steel,,,,,
69174,Rolex Lady-Datejust 69174,W,United States of America,3.69,USD,Rolex,Preowned,Papers included and box not included,https://www.chrono24.com/rolex//rolex/ladies-datejust-quickset-18k-white-gold-diamond--steel-silver-dial-watch--id12851399.htm,https://cdn2.chrono24.com/images/uhren/images_99/s3/12851399_xxl_v1572958696347.jpg,Chrono24,lady.datejust,"
",Automatic,,29,26,Steel,,White gold,Sapphire Glass,Silver,Steel,Steel,,,,,
